OptName;LfdNr;Name;Typ;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Kondition_fval;Kondition_phys;Gelenkbereich_fval;Gelenkbereich_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;Materialspannung;num_succ;num_fail;comptime_sum
cryopkm_20200903_jr_rep2;20;P3PRRRR8G1P3A1;2;03.09.2020 18:36:22;03.09.2020 19:20:47;2665.377693;332.65991686503;i.O.;48.3452619393879;7.6086879685913;240.504012866561;39.6844104040253;787.291250261337;288.070579910625;131.181731996517;65.4007149288709;332.65991686503;0.319330596128796;99.9962138353297;0.168143709280572;5.94729356381305;0.0313382118794013;2187;7913;2621.74971400002
cryopkm_20200903_jr_rep1;20;P3PRRRR8G1P3A1;2;03.09.2020 18:28:11;03.09.2020 19:12:27;2656.149093;334.513136954645;i.O.;46.05290800285;7.24661889522724;230.174334254062;37.8181488428478;715.674367101314;208.816102465809;114.493900336364;37.9481608174424;334.513136954645;0.32110955970683;99.9902943597011;0.0655927633655774;15.2455842487769;0.0148820777486182;2064;8036;2609.726673
cryopkm_20200903_jr_rep1;15;P3PRRRR6V1G1P3A1;2;03.09.2020 18:23:18;03.09.2020 19:11:04;2866.314182;343.927986253963;i.O.;55.1822732392817;8.68978551920712;266.613371801724;44.5128378888175;684.7431670848;185.153735728488;103.503527400022;26.5921491400313;343.927986253963;0.3301471662437;99.9532374408598;0.0136138754930428;73.4544693398316;0.00650342013232642;1297;8803;2828.85708499999
cryopkm_20200903_jr_rep2;15;P3PRRRR6V1G1P3A1;2;03.09.2020 18:32:07;03.09.2020 19:19:22;2834.990032;343.927986253963;i.O.;55.1822732392817;8.68978551920712;266.613371801724;44.5128378888175;684.7431670848;185.153735728488;103.503527400022;26.5921491400313;343.927986253963;0.3301471662437;99.9532374408598;0.0136138754930428;73.4544693398316;0.00650342013232642;1297;8803;2800.57878200001
cryopkm_20200903_jr_rep1;18;P3PRRRR6V1G4P3A1;2;03.09.2020 18:20:41;03.09.2020 19:17:55;3433.703644;344.081679784675;i.O.;54.959885988847;8.65459029488454;265.618434123915;44.3257173785412;685.152322405211;185.438674504605;104.05399940877;27.0686827612286;344.081679785263;0.330294701442511;99.9545511585083;0.0140073903606392;71.3908854007526;0.00621589830322705;1611;8489;3391.689867
cryopkm_20200903_jr_rep2;18;P3PRRRR6V1G4P3A1;2;03.09.2020 18:29:15;03.09.2020 19:22:12;3177.38032;344.081679784675;i.O.;54.959885988847;8.65459029488454;265.618434123915;44.3257173785412;685.152322405211;185.438674504605;104.05399940877;27.0686827612286;344.081679785263;0.330294701442511;99.9545511585083;0.0140073903606392;71.3908854007526;0.00621589830322705;1611;8489;3139.612489
cryopkm_20200903_jr_rep2;26;P3PRRRR8V2G1P3A1;2;03.09.2020 19:51:27;03.09.2020 20:42:50;3083.24878;367.201589341401;i.O.;43.4389012465894;6.8339758959719;217.99275482153;35.6464530714964;585.076755636978;131.064158357421;96.9854397294353;21.5565538545157;367.201589341401;0.352488221390996;99.9719405222809;0.022688224546265;44.0757273871667;0.0144492228173033;2761;7339;3032.67043599999
cryopkm_20200903_jr_rep1;26;P3PRRRR8V2G1P3A1;2;03.09.2020 19:47:08;03.09.2020 20:31:13;2645.878568;367.58605498012;i.O.;43.8894870161312;6.90508775003817;220.059879357417;36.0128406421511;606.828669037616;140.789530638373;98.2213190975524;22.4307621683818;367.58605498012;0.3528572819101;99.9725205083352;0.0231670854975977;43.1646872500943;0.0151802127981422;2443;7657;2598.972413
cryopkm_20200903_jr_rep1;23;P3PRRRR8V1G1P3A1;2;03.09.2020 18:23:57;03.09.2020 19:29:46;3949.498429;373.394494037583;i.O.;37.9537700802602;5.96883754596983;192.522937728148;31.1983579274279;768.34045861232;262.570242839696;117.374830143009;41.6706682949946;373.394494037583;0.358432983137579;99.9955335183675;0.142532718971963;7.01593295358876;0.00350068996869794;3611;4689;3891.029348
cryopkm_20200903_jr_rep2;23;P3PRRRR8V1G1P3A1;2;03.09.2020 18:32:44;03.09.2020 19:28:05;3320.318239;373.394526674109;i.O.;39.9304355864952;6.28049639575904;202.158696587118;32.8672702156125;782.25087013468;280.872621368747;117.374938641923;41.6708152735227;373.394526674109;0.358433014466395;99.9951691680367;0.131782636197392;7.58825311782455;0.00493383145806774;2930;4270;3272.441927
cryopkm_20200903_jr_rep2;25;P3PRRRR8V2G1P2A1;2;03.09.2020 18:56:05;03.09.2020 19:57:52;3706.833369;373.681400050378;i.O.;46.5353346046452;7.32280043068774;232.730538480029;38.2778038991203;812.523218627256;329.699108185208;127.673309013039;58.3015260551811;373.681400050378;0.358708393138766;99.9971711599023;0.225046220342774;4.4435316375315;0.0245187696364177;3194;6906;3652.05705500001
cryopkm_20200903_jr_rep2;27;P3PRRRR8V2G4P2A1;2;03.09.2020 18:52:37;03.09.2020 19:51:27;3529.520699;373.711520432006;i.O.;45.3986142295864;7.14331061369723;227.551461731949;37.3479542146918;842.269485707854;395.319562550687;133.723705015011;71.0902985840034;373.711520432006;0.358737306629491;99.9978803619598;0.300343624734514;3.32951964898187;0.0267056494729452;3193;6907;3474.282196
